Date,Open,High,Low,Close,Adj Close,Volume
08-06-2015,453.399994,455.0,441.549988,442.725006,425.550629,4958862.0
09-06-2015,441.774994,445.325012,438.674988,441.850006,424.709564,4184606.0
10-06-2015,443.0,454.950012,442.5,452.899994,435.330933,6176034.0
11-06-2015,453.0,454.75,436.825012,438.575012,421.561676,6709574.0
12-06-2015,439.5,446.350006,439.125,444.924988,427.665283,9849112.0
15-06-2015,447.450012,452.5,445.0,450.875,433.38446,5878506.0
16-06-2015,449.5,452.5,446.600006,451.975006,434.441772,6368010.0
17-06-2015,452.524994,471.174988,447.0,465.600006,447.538269,11992678.0
18-06-2015,466.274994,491.0,466.25,489.475006,470.487091,22568840.0
19-06-2015,491.25,503.200012,491.25,498.325012,478.993805,20897502.0
22-06-2015,498.475006,504.350006,493.25,495.850006,476.614777,8866370.0
23-06-2015,496.325012,501.350006,495.5,497.5,478.200775,7318090.0
24-06-2015,497.5,503.225006,493.325012,495.450012,476.230316,8504668.0
25-06-2015,493.5,504.5,492.5,502.274994,482.790558,12423550.0
26-06-2015,499.950012,507.049988,497.700012,500.350006,480.940247,9585314.0
29-06-2015,493.950012,496.924988,486.0,495.424988,476.206268,9220564.0
30-06-2015,494.950012,501.424988,494.0,500.049988,480.651886,10599340.0
01-07-2015,500.5,505.225006,500.5,502.825012,483.319214,6777156.0
02-07-2015,504.5,509.875,503.549988,505.424988,485.818359,7283210.0
03-07-2015,504.875,506.899994,501.524994,503.600006,484.064148,6323112.0
06-07-2015,498.049988,509.450012,497.600006,507.774994,488.077179,5594680.0
07-07-2015,505.5,508.299988,500.0,501.625,482.165771,5163694.0
08-07-2015,497.924988,504.350006,495.825012,498.299988,478.969727,6944656.0
09-07-2015,498.0,500.5,491.575012,493.700012,474.548187,7427064.0
10-07-2015,495.549988,502.0,495.125,500.899994,481.468903,7365212.0
13-07-2015,500.899994,506.25,497.575012,503.5,483.968018,4507774.0
14-07-2015,504.450012,505.75,497.600006,498.899994,479.546478,4545572.0
15-07-2015,499.875,507.200012,499.774994,505.575012,485.962524,6186792.0
16-07-2015,506.0,513.900024,505.575012,511.850006,491.99411,6790884.0
17-07-2015,512.625,515.575012,509.0,510.850006,491.032898,4660876.0
20-07-2015,513.900024,514.974976,508.950012,512.375,492.498718,2902254.0
21-07-2015,514.0,514.224976,501.375,503.899994,484.352509,3622284.0
22-07-2015,502.5,526.974976,502.299988,525.200012,504.826263,7913294.0
23-07-2015,526.75,533.924988,520.599976,522.650024,502.375183,8522914.0
24-07-2015,524.0,524.825012,510.549988,512.525024,492.642944,5988726.0
27-07-2015,512.450012,514.950012,500.875,502.674988,483.175018,9197526.0
28-07-2015,504.149994,508.350006,500.049988,505.125,485.529999,6118202.0
29-07-2015,504.75,506.350006,496.049988,498.0,478.681366,6761866.0
